№ Образца,Адсорбент,"Tрег, ᵒС","W0, см3/г","E0, кДж/моль","х0, нм","а0, ммоль/г","E, кДж/моль","SБЭТ, м2/г","Ws, см3/г","Sme, м2/г","Wme, см3/г",Металл,Лиганд,Растворитель,"m (соли), г","m(кис-ты), г","Т.син., °С","Т суш., °С","Vсин. (р-ля), мл",Mix_solv_ratio
73,MOF#73(Al),100,0.4614036,15.60606060606061,0.7689320388349515,13.3,5.15,1290.4,0.8114036,97.6,0.35,Al,BTC,ДМФА,2.149,0.983,100,100,56.0,1
77,MOF#77,100,0.34796076,15.24242424242424,0.7872763419483102,10.03,5.03,812.9,0.54796076,98.3,0.2000000000000001,Al,BTC,ДМФА,2.148,0.912,100,100,56.0,1
78,MOF#78,120,0.34310388,16.09090909090909,0.7457627118644068,9.89,5.31,763.3,0.84310388,0.0,0.5,Fe,BTC,ДМФА,1.2126,0.6304,120,130,30.0,1
82,MOF#MIX4(82-92)(Tr=130C),130,0.5134416,15.0,0.8,14.8,4.95,1239.1,1.0334416,327.9,0.5199999999999999,Al,BTC,ДМФА,1.074,0.492,130,130,28.0,1
82,MOF#MIX4(82-92)(Tr=300C),300,0.5991308399999999,15.33333333333333,0.782608695652174,17.27,5.06,1497.7,1.12913084,349.9,0.53,Al,BTC,ДМФА,1.074,0.492,130,130,28.0,1
82,MOF#MIX4(82-92)(Tr=350C),350,0.59635548,15.42424242424242,0.7779960707269156,17.19,5.09,1478.3,1.12635548,356.9,0.5299999999999999,Al,BTC,ДМФА,1.074,0.492,130,130,28.0,1
82,MOF#MIX4(82-92)(Tr=400C),400,0.56131656,15.57575757575757,0.7704280155642024,16.18,5.14,1379.4,1.13131656,373.1,0.57,Al,BTC,ДМФА,1.074,0.492,130,130,28.0,1
82,MOF-82-92,200,0.560761488,15.44545454545455,0.7769276044732195,16.164,5.097,1422.915,1.084761488,326.358,0.524,Al,BTC,ДМФА,1.074,0.492,130,130,28.0,1
84,MOF#84,130,0.42567084,15.0,0.8,12.27,4.95,998.3,0.7656708400000001,288.4,0.3400000000000001,Al,BTC,ДМФА,1.0736,0.4926,130,130,28.0,1
85,MOF#85,130,0.54882744,15.45454545454545,0.7764705882352941,15.82,5.1,1427.1,1.12882744,0.0,0.58,Fe,BDC,ДМФА,0.808,0.4982,130,130,24.0,1
89,MOF#89,140,0.40485564,16.09090909090909,0.7457627118644068,11.67,5.31,932.9,0.6848556400000001,288.3,0.2800000000000001,Al,BTC,ДМФА,1.0745,0.492,130,150,28.0,1
90,MOF#90(Zn),140,0.14640024,31.81818181818182,0.3771428571428572,4.22,10.5,299.9,0.18640024,9.7,0.04,Zn,BDC,ДМФА,0.8911,0.4988,140,150,24.0,1
91,MOF#91,140,0.37224516,16.36363636363636,0.7333333333333334,10.73,5.4,805.2,0.92224516,131.8,0.55,Fe,BTC,ДМФА,1.212,0.63,140,150,36.0,1
93,MOF#93,150,0.41873244,16.0,0.75,12.07,5.28,915.5,0.8987324400000001,136.4,0.4800000000000001,Fe,BTC,ДМФА,1.212,0.63,150,150,36.0,1
94,MOF#94,150,0.16235856,19.12121212121212,0.6275752773375596,4.68,6.31,315.0,0.18235856,0.0,0.0199999999999999,Fe,BTC,ДМФА,1.213,0.63,150,150,32.0,1
97,MOF#97,150,0.44648604,15.48484848484848,0.7749510763209394,12.87,5.11,1006.8,0.83648604,118.0,0.3900000000000001,Fe,BTC,ДМФА,1.212,0.63,150,140,40.0,1
98,MOF#98,140,0.4145694,23.0,0.5217391304347826,11.95,7.59,888.4,1.1045694,244.1,0.69,Al,BDC,ДМФА,0.7505,0.4983,140,140,28.0,1
99,MOF#99,140,0.33616548,15.15151515151515,0.792,9.69,5.0,881.4,0.93616548,175.6,0.5999999999999999,Fe,NH2-BDC,ДМФА,0.808,0.5436,140,140,24.0,1
100,MOF#100,140,0.208152,17.33333333333333,0.6923076923076924,6.0,5.72,476.1,1.448152,211.2,1.24,Al,BTB,ДМФА,0.376,0.2192,140,140,44.0,1
101,MOF#101,140,0.07736316,16.81818181818182,0.7135135135135136,2.23,5.55,162.7,0.26736316,54.0,0.19,Fe,BTB,ДМФА,0.404,0.2191,140,140,50.0,1
102,MOF#102,100,0.14501256,26.81818181818182,0.4474576271186441,4.18,8.85,301.5,0.18501256,0.0,0.0399999999999999,Cu,BTB,ДМФА/Этанол/Вода,0.1637,0.0876,100,100,32.0,1
